"data";"valor"
"01/01/1995";"2980,2"
"01/02/1995";"2951,7"
"01/03/1995";"3798,7"
"01/04/1995";"3393,9"
"01/05/1995";"4204,8"
"01/06/1995";"4119,9"
"01/07/1995";"4004,0"
"01/08/1995";"4558,1"
"01/09/1995";"4166,9"
"01/10/1995";"4405,2"
"01/11/1995";"4047,8"
"01/12/1995";"3875,0"
"01/01/1996";"3472,9"
"01/02/1996";"3404,7"
"01/03/1996";"3408,1"
"01/04/1996";"4271,3"
"01/05/1996";"4505,7"
"01/06/1996";"3839,9"
"01/07/1996";"4458,9"
"01/08/1996";"4380,9"
"01/09/1996";"4115,2"
"01/10/1996";"4187,9"
"01/11/1996";"3911,6"
"01/12/1996";"3789,4"
"01/01/1997";"3681,0"
"01/02/1997";"3142,8"
"01/03/1997";"3824,1"
"01/04/1997";"4624,2"
"01/05/1997";"4654,9"
"01/06/1997";"4841,6"
"01/07/1997";"5235,2"
"01/08/1997";"5071,7"
"01/09/1997";"4584,6"
"01/10/1997";"4785,9"
"01/11/1997";"3972,9"
"01/12/1997";"4528,7"
"01/01/1998";"3907,8"
"01/02/1998";"3712,1"
"01/03/1998";"4270,7"
"01/04/1998";"4573,7"
"01/05/1998";"4608,3"
"01/06/1998";"4881,1"
"01/07/1998";"4966,9"
"01/08/1998";"3978,7"
"01/09/1998";"4527,6"
"01/10/1998";"4010,5"
"01/11/1998";"3698,2"
"01/12/1998";"3940,8"
"01/01/1999";"2927,8"
"01/02/1999";"3242,7"
"01/03/1999";"3792,9"
"01/04/1999";"3669,8"
"01/05/1999";"4355,0"
"01/06/1999";"4277,6"
"01/07/1999";"4088,8"
"01/08/1999";"4235,1"
"01/09/1999";"4151,3"
"01/10/1999";"4265,2"
"01/11/1999";"3965,6"
"01/12/1999";"4626,4"
"01/01/2000";"3424,7"
"01/02/2000";"4076,8"
"01/03/2000";"4435,8"
"01/04/2000";"4138,5"
"01/05/2000";"5028,6"
"01/06/2000";"4817,2"
"01/07/2000";"4969,0"
"01/08/2000";"5482,8"
"01/09/2000";"4683,0"
"01/10/2000";"4599,4"
"01/11/2000";"4347,2"
"01/12/2000";"4614,9"
"01/01/2001";"4502,7"
"01/02/2001";"4059,8"
"01/03/2001";"5133,2"
"01/04/2001";"4691,6"
"01/05/2001";"5334,5"
"01/06/2001";"5017,7"
"01/07/2001";"4928,9"
"01/08/2001";"5689,3"
"01/09/2001";"4727,0"
"01/10/2001";"4923,5"
"01/11/2001";"4475,5"
"01/12/2001";"4308,8"
"01/01/2002";"3944,7"
"01/02/2002";"3627,9"
"01/03/2002";"4223,4"
"01/04/2002";"4605,3"
"01/05/2002";"4402,0"
"01/06/2002";"4050,9"
"01/07/2002";"6184,9"
"01/08/2002";"5723,0"
"01/09/2002";"6465,6"
"01/10/2002";"6430,2"
"01/11/2002";"5082,6"
"01/12/2002";"5200,7"
"01/01/2003";"4777,1"
"01/02/2003";"4970,5"
"01/03/2003";"5205,6"
"01/04/2003";"5682,8"
"01/05/2003";"6343,1"
"01/06/2003";"5849,8"
"01/07/2003";"6056,0"
"01/08/2003";"6368,6"
"01/09/2003";"7259,3"
"01/10/2003";"7523,1"
"01/11/2003";"5894,8"
"01/12/2003";"6717,3"
"01/01/2004";"5746,7"
"01/02/2004";"5687,0"
"01/03/2004";"7871,9"
"01/04/2004";"6550,2"
"01/05/2004";"7896,3"
"01/06/2004";"9266,4"
"01/07/2004";"8924,2"
"01/08/2004";"9019,0"
"01/09/2004";"8880,5"
"01/10/2004";"8804,3"
"01/11/2004";"8136,1"
"01/12/2004";"9136,7"
"01/01/2005";"7454,0"
"01/02/2005";"7760,0"
"01/03/2005";"9261,9"
"01/04/2005";"9222,3"
"01/05/2005";"9835,3"
"01/06/2005";"10181,5"
"01/07/2005";"11045,0"
"01/08/2005";"11309,5"
"01/09/2005";"10643,6"
"01/10/2005";"9887,7"
"01/11/2005";"10823,1"
"01/12/2005";"10809,9"
"01/01/2006";"9258,0"
"01/02/2006";"8721,9"
"01/03/2006";"11319,1"
"01/04/2006";"9785,9"
"01/05/2006";"10239,2"
"01/06/2006";"11388,6"
"01/07/2006";"13585,1"
"01/08/2006";"13580,7"
"01/09/2006";"12505,3"
"01/10/2006";"12644,5"
"01/11/2006";"11819,5"
"01/12/2006";"12201,8"
"01/01/2007";"10888,0"
"01/02/2007";"10080,9"
"01/03/2007";"12827,3"
"01/04/2007";"12370,9"
"01/05/2007";"13575,6"
"01/06/2007";"13064,8"
"01/07/2007";"14031,1"
"01/08/2007";"15026,8"
"01/09/2007";"14081,9"
"01/10/2007";"15692,9"
"01/11/2007";"13951,5"
"01/12/2007";"14139,5"
"01/01/2008";"13166,1"
"01/02/2008";"12715,4"
"01/03/2008";"12530,1"
"01/04/2008";"13982,1"
"01/05/2008";"19198,7"
"01/06/2008";"18511,1"
"01/07/2008";"20335,3"
"01/08/2008";"19638,8"
"01/09/2008";"19924,0"
"01/10/2008";"18359,2"
"01/11/2008";"14668,6"
"01/12/2008";"13716,9"
"01/01/2009";"9648,0"
"01/02/2009";"9512,7"
"01/03/2009";"11635,6"
"01/04/2009";"12207,8"
"01/05/2009";"11917,9"
"01/06/2009";"14329,9"
"01/07/2009";"14088,4"
"01/08/2009";"13647,1"
"01/09/2009";"13794,7"
"01/10/2009";"13901,4"
"01/11/2009";"12494,2"
"01/12/2009";"14332,3"
"01/01/2010";"11118,3"
"01/02/2010";"12016,2"
"01/03/2010";"15509,0"
"01/04/2010";"14996,9"
"01/05/2010";"17454,2"
"01/06/2010";"16969,5"
"01/07/2010";"17394,5"
"01/08/2010";"18986,6"
"01/09/2010";"18626,2"
"01/10/2010";"18135,1"
"01/11/2010";"17423,9"
"01/12/2010";"20668,0"
"01/01/2011";"14928,8"
"01/02/2011";"16507,8"
"01/03/2011";"19085,4"
"01/04/2011";"19976,2"
"01/05/2011";"22964,3"
"01/06/2011";"23435,5"
"01/07/2011";"22012,5"
"01/08/2011";"25858,5"
"01/09/2011";"22972,8"
"01/10/2011";"21830,0"
"01/11/2011";"21543,6"
"01/12/2011";"21881,4"
"01/01/2012";"15713,2"
"01/02/2012";"17742,5"
"01/03/2012";"20586,7"
"01/04/2012";"19365,8"
"01/05/2012";"22920,9"
"01/06/2012";"19195,7"
"01/07/2012";"20686,8"
"01/08/2012";"22051,5"
"01/09/2012";"19831,2"
"01/10/2012";"21400,4"
"01/11/2012";"20212,5"
"01/12/2012";"19519,3"
"01/01/2013";"15582,8"
"01/02/2013";"15302,9"
"01/03/2013";"19040,9"
"01/04/2013";"20368,0"
"01/05/2013";"21562,6"
"01/06/2013";"20905,4"
"01/07/2013";"20507,6"
"01/08/2013";"21173,6"
"01/09/2013";"20588,7"
"01/10/2013";"22558,4"
"01/11/2013";"20543,5"
"01/12/2013";"20613,6"
"01/01/2014";"15720,0"
"01/02/2014";"15659,1"
"01/03/2014";"17358,5"
"01/04/2014";"19410,4"
"01/05/2014";"20466,8"
"01/06/2014";"20237,4"
"01/07/2014";"22667,6"
"01/08/2014";"20158,7"
"01/09/2014";"19321,4"
"01/10/2014";"18031,5"
"01/11/2014";"15356,1"
"01/12/2014";"17170,3"
"01/01/2015";"13355,5"
"01/02/2015";"11772,5"
"01/03/2015";"16682,0"
"01/04/2015";"14907,1"
"01/05/2015";"16510,3"
"01/06/2015";"19384,4"
"01/07/2015";"18272,3"
"01/08/2015";"15150,4"
"01/09/2015";"15831,0"
"01/10/2015";"15660,5"
"01/11/2015";"13475,3"
"01/12/2015";"16486,3"
"01/01/2016";"10876,0"
"01/02/2016";"13054,0"
"01/03/2016";"15633,7"
"01/04/2016";"15075,3"
"01/05/2016";"17187,6"
"01/06/2016";"16365,3"
"01/07/2016";"16021,0"
"01/08/2016";"16588,0"
